                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.44146,                0.12532,                0.05337,                0.33687,                0.92935,                0.95923,                0.95932,                0.98702,                0.95947,                0.95906,                0.95915,                0.98697,                0.97722,                0.28503,                0.06566,                0.00059,                0.22815,                0.86295,              0.0089605,              0.0089605,              0.0089605
                     23,                0.43667,                0.12467,                0.05211,                0.33239,                0.92604,                0.95821,                0.96033,                0.98726,                0.95992,                0.95889,                0.95914,                0.98716,                0.97733,                0.28332,                0.06489,                0.00058,                0.22682,                0.86204,               0.008911,               0.008911,               0.008911
                     24,                0.43444,                0.12127,                0.05222,                0.33149,                0.92477,                0.95778,                0.96113,                0.98734,                0.96039,                0.95734,                0.96102,                0.98725,                0.97784,                0.28168,                0.06403,                0.00058,                 0.2253,                0.86101,              0.0088615,              0.0088615,              0.0088615
                     25,                0.43382,                0.12439,                0.05266,                0.33066,                0.92483,                0.95732,                0.96311,                0.98718,                 0.9606,                  0.957,                 0.9628,                0.98707,                0.97771,                 0.2796,                0.06327,                0.00057,                0.22405,                0.85999,               0.008812,               0.008812,               0.008812
                     26,                0.43064,                0.12312,                0.05243,                 0.3279,                0.92217,                0.95782,                0.96254,                0.98707,                0.96084,                0.95749,                0.96221,                0.98699,                0.97777,                0.27829,                0.06289,                0.00057,                0.22275,                0.85932,              0.0087625,              0.0087625,              0.0087625
                     27,                0.42717,                0.11856,                0.05196,                0.32661,                0.92158,                0.95715,                0.96358,                0.98715,                0.96121,                0.95659,                0.96331,                0.98703,                0.97795,                0.27754,                 0.0625,                0.00057,                0.22196,                 0.8588,               0.008713,               0.008713,               0.008713
                     28,                0.42667,                0.12106,                0.05105,                0.32549,                  0.921,                0.95916,                 0.9618,                0.98694,                0.96105,                0.95884,                0.96149,                0.98683,                 0.9778,                0.27702,                0.06212,                0.00056,                 0.2215,                0.85833,              0.0086635,              0.0086635,              0.0086635
                     29,                0.42396,                0.11733,                0.05094,                0.32327,                0.91906,                0.96022,                0.96081,                0.98734,                0.96159,                 0.9599,                 0.9605,                0.98723,                0.97822,                 0.2764,                0.06188,                0.00055,                0.22097,                 0.8579,               0.008614,               0.008614,               0.008614
                     30,                0.42127,                0.11695,                0.05096,                0.32256,                0.91746,                0.95953,                0.96246,                0.98734,                 0.9617,                0.95913,                0.96207,                0.98718,                0.97831,                0.27616,                0.06145,                0.00055,                0.22058,                0.85759,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.4203,                0.11655,                0.05024,                0.32097,                0.91757,                0.95982,                0.96273,                0.98737,                0.96198,                0.95934,                0.96225,                0.98717,                0.97837,                0.27565,                0.06125,                0.00055,                0.22009,                0.85726,               0.008515,               0.008515,               0.008515
