                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.53449,                0.21771,                0.06778,                0.27799,                0.94539,                0.99196,                0.98614,                0.99461,                  0.926,                 0.9909,                0.98379,                0.99389,                0.96078,                0.41798,                0.16836,                0.00105,                0.21828,                0.90838,              0.0089605,              0.0089605,              0.0089605
                     23,                0.53104,                0.21043,                0.06488,                0.27659,                0.94083,                 0.9921,                0.98661,                0.99468,                0.92343,                0.99054,                0.98412,                0.99397,                0.95832,                 0.4183,                0.17192,                0.00107,                0.21524,                0.90252,               0.008911,               0.008911,               0.008911
                     24,                0.53193,                 0.2107,                0.06793,                0.27659,                0.94318,                0.99186,                 0.9868,                0.99464,                0.92719,                0.98977,                0.98478,                0.99372,                0.96033,                0.41461,                0.16842,                0.00098,                0.21438,                0.90662,              0.0088615,              0.0088615,              0.0088615
                     25,                0.52804,                0.21091,                0.06635,                0.27502,                0.93944,                0.99164,                0.98664,                0.99456,                0.92945,                0.99097,                0.98426,                0.99406,                0.95986,                0.40825,                0.16914,                0.00129,                0.21296,                0.89851,               0.008812,               0.008812,               0.008812
                     26,                0.52658,                0.20603,                0.06439,                0.27448,                0.94018,                0.99202,                0.98636,                0.99467,                0.92891,                0.98988,                0.98375,                0.99397,                0.96239,                0.40806,                0.16528,                0.00092,                0.21202,                0.90179,              0.0087625,              0.0087625,              0.0087625
                     27,                0.52525,                 0.2097,                 0.0668,                0.27371,                0.93862,                0.99145,                0.98606,                0.99461,                0.93003,                0.99045,                0.98369,                0.99411,                0.96013,                0.40492,                0.16955,                0.00083,                0.20858,                0.90548,               0.008713,               0.008713,               0.008713
                     28,                0.52353,                0.20936,                0.06461,                 0.2729,                0.93664,                0.99235,                0.98706,                0.99465,                 0.9289,                0.99143,                0.98418,                0.99395,                0.96051,                0.40213,                0.16632,                0.00107,                0.20972,                0.90023,              0.0086635,              0.0086635,              0.0086635
                     29,                0.52154,                0.20625,                0.06683,                0.27273,                0.93824,                0.99243,                0.98779,                0.99467,                0.93042,                 0.9907,                0.98573,                0.99434,                0.96177,                0.40144,                0.16509,                0.00098,                0.20793,                0.89672,               0.008614,               0.008614,               0.008614
                     30,                0.51831,                0.19948,                0.06662,                0.27057,                0.93568,                0.99178,                0.98755,                0.99469,                0.92967,                0.99023,                0.98559,                0.99418,                0.96223,                0.39778,                0.15941,                0.00083,                0.20604,                0.89659,              0.0085645,              0.0085645,              0.0085645
                     31,                0.51726,                0.20143,                0.06714,                0.27045,                0.93562,                 0.9931,                0.98732,                0.99469,                0.93023,                0.99177,                0.98554,                0.99435,                 0.9619,                0.40102,                0.16144,                0.00081,                0.20558,                0.90018,               0.008515,               0.008515,               0.008515
                     32,                0.51403,                0.19804,                0.06589,                 0.2684,                0.93593,                0.99128,                0.98844,                0.99464,                0.93308,                0.99068,                0.98666,                0.99424,                 0.9618,                 0.3936,                0.16032,                0.00093,                0.20325,                0.89672,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.5134,                 0.1947,                0.06517,                0.26828,                0.93299,                0.99217,                0.98755,                0.99469,                0.93437,                0.99103,                0.98591,                0.99423,                0.96345,                0.39393,                0.15867,                0.00085,                0.20297,                0.89748,               0.008416,               0.008416,               0.008416
                     34,                0.51203,                0.19926,                0.06617,                 0.2674,                0.93304,                0.99272,                 0.9875,                0.99466,                0.93505,                0.99112,                0.98521,                0.99426,                0.96262,                0.39182,                 0.1587,                0.00082,                0.20232,                0.89461,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.5074,                0.19401,                 0.0664,                0.26527,                0.93109,                0.99326,                0.98797,                0.99474,                0.93326,                0.99051,                0.98591,                0.99405,                 0.9632,                0.39504,                0.15957,                0.00098,                0.20297,                0.89623,               0.008317,               0.008317,               0.008317
                     36,                0.50757,                0.19187,                0.06418,                0.26552,                0.93163,                0.99352,                0.98741,                0.99476,                0.93799,                 0.9916,                0.98534,                0.99424,                0.96548,                0.38557,                0.15478,                0.00078,                0.19854,                0.88757,              0.0082675,              0.0082675,              0.0082675
                     37,                0.50846,                0.19555,                0.06602,                0.26581,                0.93304,                0.99212,                0.98803,                 0.9947,                0.93493,                0.99108,                 0.9868,                 0.9943,                0.96335,                0.38586,                0.15411,                0.00072,                0.20039,                0.89369,               0.008218,               0.008218,               0.008218
                     38,                 0.5062,                0.19495,                0.06437,                0.26528,                0.92986,                0.99287,                0.98751,                0.99466,                0.93615,                0.99159,                0.98587,                0.99429,                0.96252,                0.38289,                0.15735,                0.00066,                0.19829,                0.89165,              0.0081685,              0.0081685,              0.0081685
                     39,                0.50381,                0.19058,                0.06466,                0.26382,                0.92695,                0.99343,                0.98732,                0.99473,                0.93698,                0.99123,                0.98501,                0.99404,                0.96399,                0.37983,                0.15501,                 0.0008,                0.19617,                0.88761,               0.008119,               0.008119,               0.008119
                     40,                0.50149,                0.19187,                0.06563,                0.26399,                0.92748,                0.99382,                0.98888,                0.99479,                0.93894,                0.99103,                0.98605,                0.99422,                0.96495,                0.38087,                0.15449,                0.00082,                0.19573,                0.88657,              0.0080695,              0.0080695,              0.0080695
                     41,                0.49807,                0.18747,                0.06406,                0.26153,                0.92301,                0.99316,                0.98896,                0.99478,                0.93764,                0.99125,                0.98539,                0.99417,                  0.964,                 0.3789,                0.15405,                 0.0007,                 0.1942,                0.88402,                0.00802,                0.00802,                0.00802
                     42,                0.49668,                0.18703,                0.06446,                0.26111,                0.92513,                0.99372,                0.98827,                0.99478,                0.93814,                0.99159,                  0.986,                0.99428,                0.96408,                0.37665,                0.15331,                0.00071,                0.19364,                0.88322,              0.0079705,              0.0079705,              0.0079705
                     43,                0.49817,                 0.1833,                0.06414,                0.26108,                0.92641,                0.99218,                0.98886,                0.99478,                0.93933,                0.99075,                0.98642,                0.99434,                0.96495,                0.37399,                0.15227,                0.00067,                0.19186,                0.88588,               0.007921,               0.007921,               0.007921
                     44,                0.49641,                0.18476,                0.06358,                0.25975,                0.92363,                0.99238,                0.98905,                0.99475,                0.93991,                0.99089,                0.98659,                0.99433,                0.96569,                0.37421,                0.15035,                 0.0007,                0.19155,                0.88375,              0.0078715,              0.0078715,              0.0078715
                     45,                0.49551,                0.18485,                0.06438,                0.25983,                0.92308,                0.99255,                0.98871,                0.99475,                0.93979,                0.99122,                0.98713,                0.99435,                0.96429,                0.37306,                0.15115,                0.00068,                 0.1909,                0.88706,               0.007822,               0.007822,               0.007822
                     46,                0.49199,                0.17968,                0.06389,                0.25836,                0.92367,                0.99308,                0.98863,                0.99471,                0.94043,                0.99159,                0.98574,                0.99417,                0.96498,                0.37038,                0.14992,                0.00066,                0.19078,                0.88993,              0.0077725,              0.0077725,              0.0077725
                     47,                0.49427,                 0.1831,                0.06451,                0.25873,                0.92375,                0.99288,                 0.9891,                0.99474,                0.94117,                0.99066,                0.98688,                0.99414,                0.96563,                0.37007,                0.15021,                0.00062,                 0.1885,                 0.8858,               0.007723,               0.007723,               0.007723
                     48,                0.49091,                0.18194,                0.06331,                0.25715,                0.92245,                0.99306,                0.98835,                0.99467,                0.94033,                0.99153,                0.98553,                0.99405,                0.96388,                0.37067,                0.15219,                 0.0006,                0.18853,                 0.8843,              0.0076735,              0.0076735,              0.0076735
                     49,                0.48981,                 0.1804,                0.06273,                0.25756,                0.91954,                 0.9933,                0.98906,                 0.9948,                 0.9417,                0.99111,                0.98647,                0.99423,                0.96625,                0.36684,                0.14814,                0.00061,                0.18777,                0.88048,               0.007624,               0.007624,               0.007624
                     50,                 0.4872,                 0.1796,                0.06314,                0.25712,                0.91933,                 0.9931,                0.98901,                0.99477,                0.94202,                0.99136,                 0.9868,                 0.9944,                0.96581,                0.36819,                 0.1489,                0.00062,                0.18828,                0.88648,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.4862,                0.17416,                0.06405,                0.25587,                0.91816,                0.99312,                0.98968,                 0.9948,                0.94074,                 0.9925,                0.98694,                0.99446,                0.96637,                0.36527,                0.14432,                0.00061,                0.18673,                0.87997,               0.007525,               0.007525,               0.007525
                     52,                0.48269,                0.17747,                  0.063,                0.25403,                0.91639,                0.99361,                0.98924,                0.99473,                0.94362,                0.99171,                 0.9868,                 0.9942,                0.96743,                0.36405,                0.14633,                0.00062,                0.18572,                0.88109,              0.0074755,              0.0074755,              0.0074755
                     53,                 0.4855,                0.18168,                0.06367,                0.25541,                0.91995,                0.99344,                0.98865,                0.99473,                0.94337,                0.99143,                0.98624,                 0.9943,                0.96734,                0.36314,                  0.145,                0.00058,                0.18584,                  0.883,               0.007426,               0.007426,               0.007426
                     54,                0.48243,                0.17606,                0.06247,                0.25488,                0.91779,                0.99383,                0.98896,                0.99478,                0.94252,                0.99211,                0.98638,                0.99428,                0.96608,                0.36369,                0.14703,                0.00063,                0.18559,                0.88432,              0.0073765,              0.0073765,              0.0073765
                     55,                0.48159,                0.17704,                 0.0628,                0.25453,                0.91768,                0.99277,                 0.9892,                0.99473,                0.94292,                0.99085,                0.98642,                 0.9941,                0.96612,                0.36128,                0.14825,                0.00064,                0.18506,                0.88229,               0.007327,               0.007327,               0.007327
                     56,                0.47757,                 0.1748,                0.06275,                0.25194,                0.91285,                0.99386,                0.98824,                0.99474,                0.94341,                0.99198,                0.98666,                0.99434,                0.96633,                0.35972,                0.14629,                 0.0006,                0.18377,                0.87777,              0.0072775,              0.0072775,              0.0072775
                     57,                0.47784,                0.17316,                0.06379,                0.25331,                0.91397,                0.99399,                 0.9883,                0.99478,                0.94275,                0.99231,                0.98586,                0.99427,                 0.9659,                0.35875,                0.14561,                0.00057,                0.18325,                0.87764,               0.007228,               0.007228,               0.007228
                     58,                 0.4781,                0.16893,                0.06202,                0.25174,                 0.9154,                  0.994,                0.98844,                0.99478,                0.94365,                0.99201,                0.98574,                0.99417,                0.96698,                0.36088,                0.14488,                0.00055,                0.18333,                0.87961,              0.0071785,              0.0071785,              0.0071785
                     59,                0.47744,                0.17154,                0.06413,                0.25194,                0.91492,                0.99457,                 0.9888,                 0.9948,                0.94427,                0.99258,                0.98646,                0.99424,                0.96721,                0.35689,                0.14495,                0.00058,                0.18127,                0.87878,               0.007129,               0.007129,               0.007129
                     60,                0.47536,                0.16942,                0.06379,                0.25141,                0.91516,                0.99433,                0.98834,                0.99477,                0.94411,                0.99233,                0.98619,                0.99422,                0.96709,                0.35754,                  0.144,                0.00056,                0.18252,                0.88173,              0.0070795,              0.0070795,              0.0070795
                     61,                 0.4743,                 0.1635,                 0.0621,                0.24966,                  0.913,                0.99443,                0.98905,                0.99481,                0.94492,                0.99265,                0.98666,                0.99428,                0.96667,                0.35626,                0.14413,                0.00056,                0.18141,                0.87807,                0.00703,                0.00703,                0.00703
                     62,                0.47619,                0.16988,                 0.0634,                 0.2506,                0.91602,                0.99368,                0.98969,                0.99481,                0.94435,                0.99118,                0.98713,                0.99425,                0.96752,                0.35689,                0.14209,                0.00056,                0.18089,                0.87991,              0.0069805,              0.0069805,              0.0069805
                     63,                0.47476,                0.16946,                0.06268,                0.25052,                0.91426,                0.99443,                0.98915,                0.99478,                0.94466,                0.99177,                0.98638,                0.99417,                0.96736,                0.35515,                0.14274,                0.00055,                0.18008,                0.87847,               0.006931,               0.006931,               0.006931
                     64,                0.47193,                0.16463,                0.06385,                0.24953,                0.91233,                0.99464,                0.98905,                0.99478,                 0.9449,                0.99255,                0.98619,                0.99423,                0.96773,                0.35404,                0.14258,                0.00054,                0.17935,                0.87761,              0.0068815,              0.0068815,              0.0068815
                     65,                0.47261,                0.16353,                0.06206,                0.24942,                0.91271,                0.99462,                0.98891,                0.99482,                0.94545,                0.99251,                0.98638,                0.99422,                0.96764,                0.35344,                0.14296,                0.00055,                 0.1794,                0.87692,               0.006832,               0.006832,               0.006832
