                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.35261,                 0.1117,                0.03983,                0.22112,                0.80225,                0.96796,                0.95611,                0.98109,                0.67086,                 0.8278,                0.83924,                0.81996,                0.71783,                 1.2553,                 1.5258,                 0.0024,                 0.4774,                 1.3618,               0.007921,               0.007921,               0.007921
                     23,                0.34936,                0.09854,                0.03984,                0.21643,                0.80305,                0.97623,                0.95299,                0.98253,                 0.6748,                0.87793,                0.88397,                 0.8795,                 0.7512,                 1.2674,                 1.2354,                0.00293,                0.48721,                 1.3856,               0.007822,               0.007822,               0.007822
                     24,                0.34251,                0.09121,                0.03644,                0.21425,                0.79981,                0.98853,                0.95162,                  0.989,                0.68477,                 0.9055,                0.87173,                0.89712,                0.81047,                 1.2472,                 1.1471,                0.00372,                0.48003,                 1.3354,               0.007723,               0.007723,               0.007723
                     25,                0.33947,                0.09749,                 0.0384,                0.21316,                0.80054,                 0.9763,                0.95949,                0.98534,                0.68462,                 0.8838,                0.88467,                0.87345,                0.79257,                  1.272,                  1.145,                0.00318,                 0.4797,                 1.3822,               0.007624,               0.007624,               0.007624
                     26,                0.34278,                0.10329,                0.03993,                0.21519,                0.80275,                0.97622,                0.95302,                  0.978,                0.66193,                0.87433,                0.85619,                0.85179,                 0.7629,                  1.273,                 1.2676,                0.00341,                0.48692,                 1.3768,               0.007525,               0.007525,               0.007525
                     27,                0.33437,                0.09247,                0.03617,                0.21143,                0.80078,                0.96099,                0.95628,                 0.9807,                0.67515,                0.86535,                0.86428,                0.85127,                0.78444,                 1.2725,                 1.1697,                0.00261,                 0.4961,                 1.3593,               0.007426,               0.007426,               0.007426
                     28,                0.33171,                0.09352,                0.03639,                0.21161,                0.79924,                0.96185,                 0.9574,                0.98335,                0.67094,                0.86689,                0.87933,                0.86914,                0.79201,                 1.2683,                 1.0911,                0.00302,                0.49596,                 1.3774,               0.007327,               0.007327,               0.007327
                     29,                0.32943,                0.09436,                0.03654,                0.20986,                0.79907,                0.97154,                0.95457,                0.98043,                0.67696,                0.87666,                0.86172,                0.85291,                0.77254,                 1.2895,                 1.2181,                 0.0035,                 0.5024,                 1.3485,               0.007228,               0.007228,               0.007228
                     30,                0.32702,                0.08479,                0.03637,                 0.2092,                0.79825,                 0.9673,                0.95767,                0.98397,                0.68193,                0.88386,                0.87525,                0.88001,                0.75708,                 1.2651,                 1.2384,                0.00325,                0.50924,                  1.364,               0.007129,               0.007129,               0.007129
                     31,                0.32009,                0.08692,                0.03452,                0.20582,                0.79752,                0.97814,                0.94065,                0.98514,                0.68484,                0.86751,                0.85095,                0.86691,                0.75351,                 1.2479,                  1.258,                0.00304,                0.48563,                 1.3681,                0.00703,                0.00703,                0.00703
                     32,                0.32112,                0.08482,                0.03386,                0.20508,                0.79692,                0.97923,                0.95935,                0.98047,                0.68294,                0.88113,                0.86534,                0.86878,                 0.7598,                 1.2561,                 1.2426,                 0.0038,                0.47485,                 1.3797,               0.006931,               0.006931,               0.006931
                     33,                0.31336,                0.08479,                0.03303,                0.20283,                 0.7966,                0.97754,                0.95514,                0.97659,                0.67808,                0.89811,                0.87899,                0.87604,                0.78138,                 1.2663,                 1.1512,                0.00329,                0.49165,                 1.3891,               0.006832,               0.006832,               0.006832
                     34,                0.31057,                0.08827,                0.03438,                0.20341,                0.79712,                0.97815,                0.95695,                0.98467,                 0.6897,                0.88731,                0.86821,                0.88385,                 0.7838,                 1.2689,                  1.214,                 0.0031,                0.48563,                 1.3746,               0.006733,               0.006733,               0.006733
                     35,                0.31274,                0.08299,                0.03388,                 0.2044,                0.79628,                0.97113,                0.95513,                0.98128,                0.67123,                0.89261,                0.86146,                0.86725,                0.77497,                  1.265,                 1.2429,                0.00377,                0.48343,                 1.3873,               0.006634,               0.006634,               0.006634
                     36,                0.31127,                0.08403,                  0.036,                0.20177,                0.79598,                0.97766,                0.95399,                0.98069,                0.69127,                0.87309,                0.85218,                 0.8396,                0.73123,                 1.2443,                 1.3538,                0.00278,                0.50349,                 1.3567,               0.006535,               0.006535,               0.006535
                     37,                 0.3092,                0.08581,                0.03498,                0.20091,                0.79588,                0.98108,                0.96254,                0.97794,                0.68474,                0.90024,                0.88335,                0.87207,                0.75406,                 1.2387,                 1.2195,                0.00316,                0.49844,                 1.3854,               0.006436,               0.006436,               0.006436
                     38,                0.30477,                  0.078,                0.03346,                0.19815,                0.79359,                0.96845,                0.95696,                0.98422,                0.69217,                 0.8893,                0.87637,                0.87975,                0.78029,                 1.2657,                 1.1753,                0.00299,                0.49534,                 1.3656,               0.006337,               0.006337,               0.006337
