                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.49295,                 1.8826,                0.97724,                0.91719,                0.94234,                0.83172,                0.92439,                0.88024,                0.94234,                0.83172,                0.92439,                0.75871,                 0.3497,                 1.6792,                0.63165,                0.82546,                    0.1,                      0,                      0
                      1,                0.43172,                 1.7301,                 1.0404,                0.87998,                0.94116,                0.83338,                0.92439,                0.88166,                0.94116,                0.83338,                0.92439,                0.75881,                0.34865,                 1.6898,                0.62209,                0.82522,               0.099099,              9.934e-05,              9.934e-05
                      2,                 0.4464,                 1.7701,                 1.0761,                0.88249,                0.94039,                0.83468,                0.92576,                0.88289,                0.94039,                0.83468,                0.92576,                0.75955,                0.34651,                 1.7014,                 0.6111,                0.82493,               0.098197,             0.00019736,             0.00019736
                      3,                0.48117,                 2.1185,                 1.0604,                0.90083,                0.93376,                0.84101,                0.92576,                0.88138,                0.93376,                0.84101,                0.92576,                0.75934,                0.34524,                 1.7118,                0.60169,                 0.8245,               0.097294,             0.00029406,             0.00029406
                      4,                0.46009,                 1.6734,                 1.0485,                0.87663,                0.92489,                0.85191,                0.92576,                0.88138,                0.92489,                0.85191,                0.92576,                0.75982,                0.34354,                 1.7232,                0.59978,                0.82428,               0.096389,             0.00038944,             0.00038944
                      5,                0.41445,                 2.1878,                 1.1632,                0.87324,                0.92507,                0.86259,                0.92576,                0.88138,                0.92507,                0.86259,                0.92576,                0.76905,                 0.3459,                 1.6934,                0.60532,                0.82395,               0.095483,              0.0004835,              0.0004835
                      6,                0.43416,                 1.5469,                0.99403,                0.88682,                0.93273,                0.85892,                  0.942,                0.89422,                0.93273,                0.85892,                  0.942,                0.78425,                0.35358,                 1.6254,                0.60543,                0.82566,               0.094576,             0.00057624,             0.00057624
                      7,                0.42108,                 1.4418,                 1.0134,                0.85952,                 0.9362,                0.85222,                0.94136,                0.88354,                 0.9362,                0.85222,                0.94136,                0.77723,                0.37382,                 1.5545,                0.62508,                0.83087,               0.093668,             0.00066766,             0.00066766
                      8,                0.43281,                 1.2901,                 1.0155,                0.86593,                0.93713,                0.86511,                  0.944,                0.88598,                0.93713,                0.86511,                  0.944,                0.77751,                0.38064,                 1.4968,                0.62297,                0.83297,               0.092758,             0.00075776,             0.00075776
                      9,                0.40633,                 1.2194,                0.86944,                0.88372,                0.93818,                0.87214,                0.94158,                0.88293,                0.93818,                0.87214,                0.94158,                0.78014,                0.39962,                 1.4274,                0.62857,                 0.8373,               0.091847,             0.00084654,             0.00084654
                     10,                0.43286,                0.89464,                 0.8074,                0.89075,                0.90955,                0.87502,                0.95477,                0.88637,                0.90955,                0.87502,                0.95477,                0.74566,                0.45501,                 1.3903,                0.66542,                0.85486,               0.090934,               0.000934,               0.000934
                     11,                0.38637,                0.85163,                0.63409,                0.84999,                0.91566,                0.90912,                0.94781,                0.86773,                0.91566,                0.90912,                0.94781,                 0.6965,                0.50268,                 1.4538,                0.71045,                0.86892,                0.09002,              0.0010201,              0.0010201
                     12,                0.37689,                0.79277,                0.73693,                0.84535,                 0.8785,                0.88113,                0.93625,                0.83682,                 0.8785,                0.88113,                0.93625,                0.67416,                0.55025,                 1.6098,                0.82541,                0.88473,               0.089105,               0.001105,               0.001105
                     13,                0.39586,                0.78332,                0.61875,                0.86958,                0.90356,                0.82817,                0.92029,                0.82697,                0.90356,                0.82817,                0.92029,                0.65212,                0.55837,                 1.6228,                0.85845,                0.88681,               0.088188,              0.0011885,              0.0011885
                     14,                0.39525,                0.76971,                0.52273,                0.84711,                0.85003,                0.89306,                0.93827,                0.85044,                0.85003,                0.89306,                0.93827,                0.70269,                0.51567,                 1.3894,                0.76229,                0.86942,               0.087271,              0.0012706,              0.0012706
                     15,                0.41925,                0.80252,                0.57898,                0.88267,                0.88344,                0.90361,                0.96167,                 0.8884,                0.88344,                0.90361,                0.96167,                0.76889,                0.43872,                 1.1915,                0.60335,                0.84053,               0.086351,              0.0013515,              0.0013515
                     16,                0.37824,                0.78421,                0.48715,                0.84419,                0.90524,                0.90476,                0.96654,                0.91165,                0.90524,                0.90476,                0.96654,                0.78744,                0.39527,                 1.0561,                0.57419,                0.82658,               0.085431,               0.001431,               0.001431
                     17,                0.39986,                0.67615,                0.47643,                0.86603,                0.90524,                0.90476,                0.96654,                0.91165,                0.90524,                0.90476,                0.96654,                0.78744,                0.39527,                 1.0561,                0.57419,                0.82658,               0.084509,              0.0015093,              0.0015093
                     18,                0.38633,                0.69528,                0.46455,                0.84818,                0.91321,                0.89807,                0.97631,                0.91207,                0.91321,                0.89807,                0.97631,                0.80025,                0.38927,                0.99795,                0.56493,                0.82387,               0.083586,              0.0015862,              0.0015862
                     19,                0.37259,                0.74168,                0.42642,                0.85508,                0.91321,                0.89807,                0.97631,                0.91207,                0.91321,                0.89807,                0.97631,                0.80025,                0.38927,                0.99795,                0.56493,                0.82387,               0.082662,              0.0016617,              0.0016617
                     20,                0.36653,                0.71648,                0.39124,                0.84988,                0.90269,                0.90804,                0.98411,                0.92633,                0.90269,                0.90804,                0.98411,                 0.8108,                 0.3756,                0.94197,                0.53402,                0.81978,               0.081736,               0.001736,               0.001736
                     21,                0.37585,                0.67027,                0.39972,                 0.8555,                0.90269,                0.90804,                0.98411,                0.92633,                0.90269,                0.90804,                0.98411,                 0.8108,                 0.3756,                0.94197,                0.53402,                0.81978,               0.080809,              0.0018089,              0.0018089
                     22,                0.37668,                0.78325,                0.41845,                0.85779,                0.89515,                0.91275,                0.97706,                 0.9169,                0.89515,                0.91275,                0.97706,                0.80376,                0.38682,                 0.9249,                0.58571,                0.82266,               0.079881,              0.0018806,              0.0018806
                     23,                 0.3916,                0.65107,                0.37859,                0.86155,                0.89515,                0.91275,                0.97706,                 0.9169,                0.89515,                0.91275,                0.97706,                0.80376,                0.38682,                 0.9249,                0.58571,                0.82266,               0.078951,              0.0019509,              0.0019509
                     24,                0.36555,                0.66353,                0.42213,                0.86189,                0.88351,                0.91263,                0.97706,                0.91547,                0.88351,                0.91263,                0.97706,                0.80941,                0.38898,                0.89657,                0.59796,                 0.8221,                0.07802,              0.0020198,              0.0020198
                     25,                 0.3796,                0.62765,                0.36588,                0.87207,                0.88351,                0.91263,                0.97706,                0.91547,                0.88351,                0.91263,                0.97706,                0.80941,                0.38898,                0.89657,                0.59796,                 0.8221,               0.077088,              0.0020875,              0.0020875
                     26,                0.34712,                0.58673,                0.36917,                0.81703,                0.87521,                0.91269,                0.98411,                0.91898,                0.87521,                0.91269,                0.98411,                0.81831,                0.39423,                0.86131,                 0.5696,                0.82167,               0.076154,              0.0021538,              0.0021538
                     27,                0.32389,                0.60826,                 0.3721,                0.84983,                0.87521,                0.91269,                0.98411,                0.91898,                0.87521,                0.91269,                0.98411,                0.81831,                0.39423,                0.86131,                 0.5696,                0.82167,               0.075219,              0.0022189,              0.0022189
                     28,                0.35012,                 0.5868,                0.32838,                0.85801,                0.88182,                0.91333,                0.99348,                0.94297,                0.88182,                0.91333,                0.99348,                0.82726,                0.34831,                0.82612,                0.50885,                0.81569,               0.074283,              0.0022826,              0.0022826
                     29,                0.33808,                0.55271,                0.31335,                0.81982,                0.88182,                0.91333,                0.99348,                0.94297,                0.88182,                0.91333,                0.99348,                0.82726,                0.34831,                0.82612,                0.50885,                0.81569,               0.073345,              0.0023449,              0.0023449
                     30,                0.33509,                0.54517,                 0.3223,                0.82065,                0.88311,                0.91392,                0.99348,                0.95391,                0.88311,                0.91392,                0.99348,                0.84535,                0.34298,                0.80006,                0.50848,                0.81585,               0.072406,               0.002406,               0.002406
                     31,                0.35328,                0.53947,                0.29414,                0.84137,                0.88311,                0.91392,                0.99348,                0.95391,                0.88311,                0.91392,                0.99348,                0.84535,                0.34298,                0.80006,                0.50848,                0.81585,               0.071466,              0.0024657,              0.0024657
                     32,                0.34498,                0.56258,                0.32429,                0.81793,                 0.8849,                0.91244,                0.94194,                0.90378,                 0.8849,                0.91244,                0.94194,                0.79618,                0.32615,                0.78384,                  0.502,                0.81355,               0.070524,              0.0025242,              0.0025242
                     33,                  0.352,                0.53315,                0.35848,                0.85343,                 0.8849,                0.91244,                0.94194,                0.90378,                 0.8849,                0.91244,                0.94194,                0.79618,                0.32615,                0.78384,                  0.502,                0.81355,               0.069581,              0.0025813,              0.0025813
                     34,                0.34559,                0.54043,                0.30061,                0.84628,                0.88422,                0.91245,                0.93483,                0.89806,                0.88422,                0.91245,                0.93483,                0.80235,                0.32454,                 0.7548,                0.53344,                0.81204,               0.068637,               0.002637,               0.002637
                     35,                0.34779,                0.54826,                0.30274,                0.81882,                0.88422,                0.91245,                0.93483,                0.89806,                0.88422,                0.91245,                0.93483,                0.80235,                0.32454,                 0.7548,                0.53344,                0.81204,               0.067692,              0.0026915,              0.0026915
                     36,                0.34115,                0.60838,                0.30315,                0.83041,                 0.8821,                0.91245,                0.96694,                0.92788,                 0.8821,                0.91245,                0.96694,                0.81777,                0.33041,                0.79175,                0.49913,                0.81269,               0.066745,              0.0027446,              0.0027446
                     37,                0.34003,                0.57108,                0.33169,                0.83958,                 0.8821,                0.91245,                0.96694,                0.92788,                 0.8821,                0.91245,                0.96694,                0.81777,                0.33041,                0.79175,                0.49913,                0.81269,               0.065796,              0.0027965,              0.0027965
                     38,                0.34357,                0.54313,                0.29711,                0.86297,                0.88912,                0.91249,                 0.9531,                0.91381,                0.88912,                0.91249,                 0.9531,                0.81547,                0.31672,                0.79576,                0.49163,                0.81443,               0.064847,               0.002847,               0.002847
                     39,                0.32039,                0.55733,                0.29949,                0.82394,                0.88912,                0.91249,                 0.9531,                0.91381,                0.88912,                0.91249,                 0.9531,                0.81547,                0.31672,                0.79576,                0.49163,                0.81443,               0.063896,              0.0028961,              0.0028961
                     40,                0.33874,                0.51493,                0.27583,                0.84894,                 0.8883,                0.91263,                0.96817,                0.92719,                 0.8883,                0.91263,                0.96817,                0.83224,                0.32447,                 0.8337,                 0.5193,                 0.8146,               0.062944,               0.002944,               0.002944
                     41,                0.31401,                0.54442,                0.28824,                0.84415,                 0.8883,                0.91263,                0.96817,                0.92719,                 0.8883,                0.91263,                0.96817,                0.83224,                0.32447,                 0.8337,                 0.5193,                 0.8146,               0.061991,              0.0029905,              0.0029905
                     42,                 0.3425,                0.49598,                0.27932,                0.83026,                0.88645,                0.91257,                0.97154,                0.92371,                0.88645,                0.91257,                0.97154,                 0.8137,                0.34182,                0.89048,                0.50845,                0.81613,               0.061036,              0.0030358,              0.0030358
                     43,                0.36197,                0.50203,                0.32507,                0.85196,                0.88645,                0.91257,                0.97154,                0.92371,                0.88645,                0.91257,                0.97154,                 0.8137,                0.34182,                0.89048,                0.50845,                0.81613,                0.06008,              0.0030797,              0.0030797
                     44,                0.37661,                 0.5585,                0.34101,                0.86363,                 0.9037,                 0.9288,                0.99119,                0.95017,                 0.9037,                 0.9288,                0.99119,                0.84863,                0.33651,                 0.8969,                0.41333,                 0.8147,               0.059122,              0.0031222,              0.0031222
                     45,                0.36383,                0.54651,                0.34824,                0.84785,                 0.9037,                 0.9288,                0.99119,                0.95017,                 0.9037,                 0.9288,                0.99119,                0.84863,                0.33651,                 0.8969,                0.41333,                 0.8147,               0.058163,              0.0031635,              0.0031635
                     46,                0.33165,                0.56284,                0.25074,                0.85845,                0.90373,                0.94124,                0.99119,                  0.949,                0.90373,                0.94124,                0.99119,                0.84454,                0.33673,                0.89044,                0.38404,                0.81616,               0.057203,              0.0032034,              0.0032034
                     47,                 0.3491,                 0.5549,                0.31676,                0.85536,                0.90373,                0.94124,                0.99119,                  0.949,                0.90373,                0.94124,                0.99119,                0.84454,                0.33673,                0.89044,                0.38404,                0.81616,               0.056242,              0.0032421,              0.0032421
                     48,                0.34015,                0.48409,                0.27492,                0.83413,                0.90769,                0.94137,                0.98433,                0.94422,                0.90769,                0.94137,                0.98433,                0.84725,                0.31849,                0.87478,                0.37963,                0.81513,               0.055279,              0.0032794,              0.0032794
                     49,                 0.3194,                0.55902,                0.28439,                0.85188,                0.90769,                0.94137,                0.98433,                0.94422,                0.90769,                0.94137,                0.98433,                0.84725,                0.31849,                0.87478,                0.37963,                0.81513,               0.054315,              0.0033153,              0.0033153
                     50,                0.33206,                0.50197,                0.30623,                0.85996,                0.91254,                0.94731,                  0.995,                0.95029,                0.91254,                0.94731,                  0.995,                0.85161,                0.34065,                0.88345,                0.33529,                0.81687,                0.05335,                0.00335,                0.00335
                     51,                0.33257,                0.48706,                0.26782,                0.83982,                0.91254,                0.94731,                  0.995,                0.95029,                0.91254,                0.94731,                  0.995,                0.85161,                0.34065,                0.88345,                0.33529,                0.81687,               0.052383,              0.0033833,              0.0033833
                     52,                0.31709,                0.49429,                0.26367,                0.81989,                0.91254,                0.94731,                  0.995,                0.95029,                0.91254,                0.94731,                  0.995,                0.85161,                0.34065,                0.88345,                0.33529,                0.81687,               0.051415,              0.0034154,              0.0034154
                     53,                0.35256,                0.50369,                0.27825,                0.83612,                0.91052,                 0.9478,                  0.995,                0.94789,                0.91052,                 0.9478,                  0.995,                0.85075,                 0.3485,                0.91024,                0.33544,                0.81746,               0.050446,              0.0034461,              0.0034461
                     54,                 0.3162,                0.46837,                0.26139,                0.84125,                0.91052,                 0.9478,                  0.995,                0.94789,                0.91052,                 0.9478,                  0.995,                0.85075,                 0.3485,                0.91024,                0.33544,                0.81746,               0.049475,              0.0034754,              0.0034754
                     55,                0.37571,                0.56035,                0.31646,                 0.8699,                0.91052,                 0.9478,                  0.995,                0.94789,                0.91052,                 0.9478,                  0.995,                0.85075,                 0.3485,                0.91024,                0.33544,                0.81746,               0.048504,              0.0035035,              0.0035035
                     56,                0.30631,                0.46148,                0.26931,                0.83815,                0.91175,                0.94282,                0.98833,                0.94807,                0.91175,                0.94282,                0.98833,                0.84568,                0.32826,                0.86454,                0.35323,                0.81465,                0.04753,              0.0035302,              0.0035302
                     57,                0.31404,                0.48377,                0.26538,                0.82315,                0.91175,                0.94282,                0.98833,                0.94807,                0.91175,                0.94282,                0.98833,                0.84568,                0.32826,                0.86454,                0.35323,                0.81465,               0.046556,              0.0035557,              0.0035557
                     58,                0.30811,                0.45277,                0.26702,                0.83461,                0.91175,                0.94282,                0.98833,                0.94807,                0.91175,                0.94282,                0.98833,                0.84568,                0.32826,                0.86454,                0.35323,                0.81465,                0.04558,              0.0035798,              0.0035798
                     59,                0.31058,                0.52955,                0.29349,                0.82919,                0.90596,                0.94284,                0.99119,                0.95716,                0.90596,                0.94284,                0.99119,                0.85607,                0.33088,                0.86411,                0.36337,                 0.8145,               0.044603,              0.0036025,              0.0036025
                     60,                0.32601,                0.47057,                0.29224,                0.83253,                0.90596,                0.94284,                0.99119,                0.95716,                0.90596,                0.94284,                0.99119,                0.85607,                0.33088,                0.86411,                0.36337,                 0.8145,               0.043624,               0.003624,               0.003624
                     61,                0.34846,                0.49863,                 0.2619,                0.84481,                0.90596,                0.94284,                0.99119,                0.95716,                0.90596,                0.94284,                0.99119,                0.85607,                0.33088,                0.86411,                0.36337,                 0.8145,               0.042644,              0.0036441,              0.0036441
                     62,                 0.3197,                0.47907,                0.27042,                0.83429,                0.90158,                   0.94,                0.99119,                0.94638,                0.90158,                   0.94,                0.99119,                0.85587,                 0.3402,                0.86386,                0.37904,                 0.8152,               0.041663,               0.003663,               0.003663
                     63,                0.30368,                0.46063,                0.26494,                0.82031,                0.90158,                   0.94,                0.99119,                0.94638,                0.90158,                   0.94,                0.99119,                0.85587,                 0.3402,                0.86386,                0.37904,                 0.8152,                0.04068,              0.0036805,              0.0036805
                     64,                0.30709,                0.47906,                0.26432,                0.82816,                0.90158,                   0.94,                0.99119,                0.94638,                0.90158,                   0.94,                0.99119,                0.85587,                 0.3402,                0.86386,                0.37904,                 0.8152,               0.039697,              0.0036966,              0.0036966
                     65,                0.32456,                0.44617,                0.24852,                0.83348,                0.89261,                 0.9436,                0.99119,                 0.9568,                0.89261,                 0.9436,                0.99119,                0.86637,                0.31978,                0.82223,                0.35471,                0.81088,               0.038711,              0.0037115,              0.0037115
                     66,                0.34877,                0.50263,                0.26566,                0.85024,                0.89261,                 0.9436,                0.99119,                 0.9568,                0.89261,                 0.9436,                0.99119,                0.86637,                0.31978,                0.82223,                0.35471,                0.81088,               0.037725,               0.003725,               0.003725
                     67,                 0.3285,                0.49936,                  0.287,                0.82868,                0.89261,                 0.9436,                0.99119,                 0.9568,                0.89261,                 0.9436,                0.99119,                0.86637,                0.31978,                0.82223,                0.35471,                0.81088,               0.036737,              0.0037373,              0.0037373
                     68,                0.34707,                0.46986,                0.31852,                0.83098,                0.88468,                0.94783,                0.98968,                0.95223,                0.88468,                0.94783,                0.98968,                0.85272,                0.32487,                0.81311,                0.35038,                0.81128,               0.035748,              0.0037482,              0.0037482
                     69,                0.30041,                0.44896,                0.25154,                0.81294,                0.88468,                0.94783,                0.98968,                0.95223,                0.88468,                0.94783,                0.98968,                0.85272,                0.32487,                0.81311,                0.35038,                0.81128,               0.034758,              0.0037577,              0.0037577
                     70,                0.32848,                0.51727,                0.25129,                0.89118,                0.88468,                0.94783,                0.98968,                0.95223,                0.88468,                0.94783,                0.98968,                0.85272,                0.32487,                0.81311,                0.35038,                0.81128,               0.033766,               0.003766,               0.003766
                     71,                0.30878,                 0.4699,                0.25223,                0.81714,                0.88771,                0.94307,                0.98968,                0.95322,                0.88771,                0.94307,                0.98968,                0.85861,                0.31201,                0.79246,                0.35311,                0.80756,               0.032773,              0.0037729,              0.0037729
                     72,                0.31905,                0.48135,                0.24741,                0.83545,                0.88771,                0.94307,                0.98968,                0.95322,                0.88771,                0.94307,                0.98968,                0.85861,                0.31201,                0.79246,                0.35311,                0.80756,               0.031779,              0.0037786,              0.0037786
                     73,                0.29575,                 0.4268,                0.23653,                0.82088,                0.88771,                0.94307,                0.98968,                0.95322,                0.88771,                0.94307,                0.98968,                0.85861,                0.31201,                0.79246,                0.35311,                0.80756,               0.030783,              0.0037829,              0.0037829
                     74,                 0.3109,                0.43838,                0.24042,                0.82934,                0.90053,                0.94514,                0.98841,                0.94629,                0.90053,                0.94514,                0.98841,                0.85919,                0.32437,                0.79495,                0.34547,                0.81141,               0.029786,              0.0037858,              0.0037858
                     75,                0.30962,                0.40892,                0.22564,                0.83227,                0.90053,                0.94514,                0.98841,                0.94629,                0.90053,                0.94514,                0.98841,                0.85919,                0.32437,                0.79495,                0.34547,                0.81141,               0.028788,              0.0037875,              0.0037875
                     76,                0.30839,                0.46256,                0.24275,                0.82158,                0.90053,                0.94514,                0.98841,                0.94629,                0.90053,                0.94514,                0.98841,                0.85919,                0.32437,                0.79495,                0.34547,                0.81141,               0.027788,              0.0037878,              0.0037878
                     77,                0.30706,                0.45717,                0.26081,                0.83049,                0.91272,                0.92186,                0.98841,                0.95309,                0.91272,                0.92186,                0.98841,                0.86245,                0.32866,                0.81276,                0.35453,                0.81193,               0.026787,              0.0037869,              0.0037869
                     78,                0.29871,                0.43457,                0.26822,                0.82039,                0.91272,                0.92186,                0.98841,                0.95309,                0.91272,                0.92186,                0.98841,                0.86245,                0.32866,                0.81276,                0.35453,                0.81193,               0.025785,              0.0037846,              0.0037846
                     79,                0.29714,                0.44482,                0.26548,                0.81094,                0.91272,                0.92186,                0.98841,                0.95309,                0.91272,                0.92186,                0.98841,                0.86245,                0.32866,                0.81276,                0.35453,                0.81193,               0.024781,              0.0037809,              0.0037809
                     80,                0.29876,                0.42609,                0.26262,                0.81172,                0.92692,                0.91361,                0.98437,                 0.9424,                0.92692,                0.91361,                0.98437,                0.86292,                0.33849,                 0.7908,                0.37703,                0.81461,               0.023776,               0.003776,               0.003776
                     81,                0.28106,                0.40849,                0.24876,                0.80953,                0.92692,                0.91361,                0.98437,                 0.9424,                0.92692,                0.91361,                0.98437,                0.86292,                0.33849,                 0.7908,                0.37703,                0.81461,                0.02277,              0.0037697,              0.0037697
                     82,                0.31374,                0.41561,                0.26281,                0.83212,                0.92692,                0.91361,                0.98437,                 0.9424,                0.92692,                0.91361,                0.98437,                0.86292,                0.33849,                 0.7908,                0.37703,                0.81461,               0.021762,              0.0037622,              0.0037622
