                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.23497,                0.30629,                0.23176,                0.80305,                 0.9997,                0.96003,                0.96811,                 0.9674,                 0.9997,                0.96003,                0.96811,                0.92422,                  0.139,                0.24552,                 0.1522,                0.76287,               0.007723,               0.007723,               0.007723
                     25,                 0.2314,                0.29779,                0.23139,                0.80525,                0.99972,                0.96021,                0.96874,                0.96819,                0.99972,                0.96021,                0.96874,                0.92799,                0.14369,                0.23462,                0.15255,                0.76614,               0.007624,               0.007624,               0.007624
                     26,                0.22707,                0.29564,                0.22288,                0.80319,                0.99961,                0.96013,                0.95964,                0.95849,                0.99961,                0.96013,                0.95964,                0.91348,                0.14488,                0.24742,                0.14818,                0.76449,               0.007525,               0.007525,               0.007525
                     27,                0.22911,                0.29896,                 0.2251,                0.80455,                 0.9998,                0.96021,                 0.9631,                0.96146,                 0.9998,                0.96021,                 0.9631,                0.92177,                0.14132,                0.23983,                0.15115,                0.76547,               0.007426,               0.007426,               0.007426
                     28,                0.22293,                0.29252,                0.21733,                0.80227,                0.99974,                0.96021,                0.97008,                0.96956,                0.99974,                0.96021,                0.97008,                0.92996,                 0.1474,                0.23427,                0.14942,                0.77111,               0.007327,               0.007327,               0.007327
                     29,                0.22233,                0.28607,                0.21732,                0.80272,                0.99977,                0.96021,                0.97321,                0.97272,                0.99977,                0.96021,                0.97321,                0.93663,                  0.129,                0.23046,                0.14027,                0.76299,               0.007228,               0.007228,               0.007228
                     30,                0.22278,                0.29054,                0.21415,                0.80471,                0.99969,                0.96021,                0.96545,                0.96463,                0.99969,                0.96021,                0.96545,                0.92503,                0.14258,                0.24097,                 0.1436,                0.76823,               0.007129,               0.007129,               0.007129
                     31,                0.21728,                0.29078,                0.21167,                0.80239,                0.99983,                0.96021,                0.97334,                0.97287,                0.99983,                0.96021,                0.97334,                0.93889,                0.12751,                0.22966,                0.13312,                0.76293,                0.00703,                0.00703,                0.00703
                     32,                0.21811,                0.28861,                 0.2071,                0.80364,                0.99982,                0.96021,                0.97431,                0.97355,                0.99982,                0.96021,                0.97431,                0.93725,                 0.1343,                0.23383,                0.14119,                0.76895,               0.006931,               0.006931,               0.006931
                     33,                0.21422,                0.28507,                0.20478,                0.80184,                0.99973,                0.96021,                0.96869,                0.96825,                0.99973,                0.96021,                0.96869,                0.93054,                 0.1367,                0.22949,                0.13472,                0.76536,               0.006832,               0.006832,               0.006832
                     34,                0.21117,                0.28113,                0.20271,                 0.8017,                0.99969,                0.96016,                0.96725,                0.96693,                0.99969,                0.96016,                0.96725,                0.92696,                0.13675,                0.23207,                0.13053,                0.76573,               0.006733,               0.006733,               0.006733
                     35,                 0.2111,                0.28151,                0.20114,                0.80068,                0.99981,                0.96021,                0.97343,                0.97309,                0.99981,                0.96021,                0.97343,                0.93544,                0.12745,                 0.2323,                0.13299,                0.76453,               0.006634,               0.006634,               0.006634
                     36,                0.20794,                0.28049,                0.19778,                0.79987,                0.99976,                0.96021,                 0.9693,                0.96872,                0.99976,                0.96021,                 0.9693,                 0.9296,                0.13768,                0.22938,                0.13116,                0.76285,               0.006535,               0.006535,               0.006535
                     37,                0.20658,                0.27998,                0.19597,                0.79865,                0.99973,                0.96021,                 0.9659,                0.96571,                0.99973,                0.96021,                 0.9659,                0.92906,                0.12834,                0.22459,                  0.128,                  0.764,               0.006436,               0.006436,               0.006436
                     38,                0.20332,                0.27871,                0.19575,                0.79954,                0.99967,                0.96021,                0.96953,                0.96888,                0.99967,                0.96021,                0.96953,                 0.9313,                0.12448,                0.22495,                0.12282,                0.76474,               0.006337,               0.006337,               0.006337
                     39,                0.20425,                0.27818,                0.18787,                 0.7999,                 0.9998,                0.96018,                0.97023,                0.96994,                 0.9998,                0.96018,                0.97023,                0.93493,                0.12137,                0.21948,                0.11991,                0.76456,               0.006238,               0.006238,               0.006238
                     40,                 0.2017,                0.27765,                 0.1919,                0.79883,                0.99968,                0.96021,                  0.971,                0.97069,                0.99968,                0.96021,                  0.971,                0.93293,                0.13422,                0.22804,                0.12933,                0.76697,               0.006139,               0.006139,               0.006139
                     41,                0.19972,                0.27885,                0.19205,                 0.8003,                0.99973,                0.96021,                0.96243,                0.96213,                0.99973,                0.96021,                0.96243,                0.92311,                0.12507,                0.23789,                0.12249,                0.76085,                0.00604,                0.00604,                0.00604
