                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                  1.425,                 2.4298,                0.41915,                0.71206,                 1.1248,                 0.9685,                0.94118,                0.95978,                0.52873,                0.84985,                0.85294,                0.86695,                0.39658,                 1.6804,                 2.6739,                0.37511,                0.64352,                 1.1865,                0.04123,              0.0062297,              0.0062297
                     22,                 1.3215,                 2.0332,                0.43483,                0.67981,                 1.0481,                0.93852,                0.94118,                0.95769,                 0.5795,                0.93852,                0.94118,                0.92997,                0.45705,                 1.5321,                 2.6042,                0.35318,                0.61079,                 1.1295,               0.038504,              0.0065038,              0.0065038
                     23,                 1.3676,                 2.0958,                0.38168,                0.68027,                 1.0562,                0.93825,                0.94118,                 0.9505,                0.58123,                0.87955,                0.88235,                0.87734,                 0.4285,                 1.5019,                 2.5266,                0.35315,                0.60585,                 1.1163,               0.035777,              0.0067767,              0.0067767
                     24,                  1.351,                 1.7697,                0.42274,                0.65301,                  1.092,                0.93849,                0.94118,                 0.9537,                0.56063,                0.90916,                0.91176,                0.90422,                0.49997,                 1.5458,                 2.4299,                0.33311,                0.59138,                 1.1148,               0.033048,              0.0070484,              0.0070484
                     25,                 1.2639,                 1.7779,                0.38715,                0.61258,                 1.0201,                0.93786,                0.94118,                0.95129,                0.61691,                0.90855,                0.91176,                0.91192,                0.47208,                  1.372,                 2.1677,                0.33014,                0.56775,                 1.0601,               0.030319,              0.0073188,              0.0073188
                     26,                 1.2355,                 1.6338,                0.38709,                0.61797,                 1.0431,                0.96792,                0.97059,                0.97325,                0.58242,                0.87993,                0.88235,                0.87333,                0.49463,                 1.4347,                 2.2362,                0.29542,                0.56188,                 1.0729,               0.027588,              0.0075882,              0.0075882
                     27,                 1.2108,                 1.6843,                0.36675,                0.59984,                 1.0018,                 0.9678,                0.97059,                0.97395,                0.59893,                0.90914,                0.91176,                0.89541,                0.52772,                 1.3146,                 1.9593,                0.27276,                0.55114,                 1.0454,               0.024856,              0.0078563,              0.0078563
                     28,                 1.2082,                 1.6401,                0.35202,                0.60842,                 1.0051,                 0.9678,                0.97059,                0.97395,                0.59893,                0.90914,                0.91176,                0.89541,                0.52772,                 1.3146,                 1.9593,                0.27276,                0.55114,                 1.0454,               0.022123,              0.0081232,              0.0081232
                     29,                 1.3045,                 1.6385,                 0.3455,                0.61902,                 1.0396,                0.96838,                0.97059,                0.97329,                0.57803,                0.87064,                0.85294,                0.83658,                0.39548,                 1.4044,                 2.3982,                0.25641,                0.55912,                 1.0594,               0.019389,               0.008389,               0.008389
                     30,                 1.2958,                   1.74,                0.36835,                0.63354,                  1.029,                0.96762,                0.97059,                0.97376,                 0.6035,                0.92295,                0.91176,                0.89573,                0.57461,                 1.3126,                 1.6927,                0.22989,                0.57067,                 1.0416,               0.016654,              0.0086535,              0.0086535
