                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5627,                  1.935,                0.47409,                 2.1938,                 2.9952,                0.83313,                0.36806,                0.41368,                0.16224,                0.87853,                0.40836,                0.48911,                0.32707,                 1.9891,                 1.2142,                0.14718,                 1.7352,                 2.2258,                0.07006,              0.0033267,              0.0033267
                      1,                  1.516,                 1.1741,                0.30991,                 1.1689,                 1.6977,                0.59244,                0.67079,                   0.61,                0.37215,                0.59639,                  0.675,                0.61648,                0.44706,                 1.3743,                 1.0505,                0.04615,                 1.0385,                 1.6986,               0.039928,              0.0065281,              0.0065281
                      2,                  1.347,                0.94575,                0.18202,                0.99956,                 1.5313,                0.61835,                0.70827,                0.67843,                0.47711,                0.62108,                 0.7116,                0.68098,                0.60303,                 1.1065,                0.49241,                0.03636,                0.84573,                  1.473,              0.0096643,              0.0095976,              0.0095976
                      3,                 1.1965,                0.59609,                0.15392,                0.85683,                 1.4146,                 0.7459,                0.76364,                0.79338,                0.58712,                 0.7452,                0.76514,                0.79386,                0.73998,                 1.0088,                0.37962,                0.00497,                0.72023,                 1.3931,               0.009406,               0.009406,               0.009406
                      4,                 1.0502,                0.49708,                0.14339,                0.74032,                 1.3064,                0.70729,                0.76677,                0.75376,                0.55271,                0.71047,                0.77009,                0.75681,                0.71256,                0.98656,                0.31943,                0.01327,                0.64298,                  1.342,               0.009406,               0.009406,               0.009406
                      5,                   0.95,                0.41731,                0.13218,                0.67598,                 1.2332,                0.62066,                0.57963,                0.64046,                0.46991,                0.62191,                0.58125,                0.64241,                0.60162,                0.98061,                0.32411,                0.01399,                0.73677,                 1.3524,               0.009208,               0.009208,               0.009208
                      6,                0.88127,                0.38274,                0.13271,                0.62755,                 1.1897,                0.77249,                0.80747,                0.83629,                0.72225,                0.77345,                0.81063,                0.83803,                0.80561,                0.63812,                0.23679,                 0.0033,                0.48889,                 1.0941,                0.00901,                0.00901,                0.00901
                      7,                0.83227,                0.34456,                0.12594,                0.59487,                 1.1586,                0.79751,                0.81542,                0.85408,                0.74105,                0.79847,                0.81643,                0.85501,                0.82185,                0.62683,                0.23742,                0.00267,                0.47415,                 1.0834,               0.008812,               0.008812,               0.008812
                      8,                0.79314,                0.32671,                0.12208,                0.57043,                 1.1325,                0.82506,                0.81972,                0.86255,                0.75469,                0.82533,                0.81969,                 0.8613,                 0.8331,                0.59313,                0.21307,                0.00465,                0.45523,                 1.0669,               0.008614,               0.008614,               0.008614
                      9,                0.76621,                0.30422,                0.12075,                0.55297,                 1.1156,                0.79028,                0.82384,                0.85119,                0.73358,                0.79079,                0.82438,                0.85146,                0.81683,                 0.6526,                0.22097,                0.00223,                0.45293,                 1.0945,               0.008416,               0.008416,               0.008416
                     10,                0.74244,                0.28755,                0.11684,                0.53835,                 1.1032,                0.81917,                 0.8422,                0.87512,                0.77837,                0.81958,                 0.8426,                0.87602,                0.84601,                0.55131,                0.19262,                0.00286,                0.42611,                 1.0357,               0.008218,               0.008218,               0.008218
                     11,                0.72071,                0.27793,                0.11758,                0.52375,                 1.0928,                0.81853,                 0.8432,                0.87552,                0.76912,                  0.819,                0.84368,                0.87608,                0.85153,                0.60195,                0.18386,                0.00222,                0.42306,                  1.061,                0.00802,                0.00802,                0.00802
                     12,                0.70111,                0.27256,                0.11354,                0.51069,                 1.0739,                0.79092,                0.83286,                0.86195,                0.77273,                0.79144,                 0.8334,                 0.8623,                0.83877,                0.54873,                0.17167,                0.00249,                0.41502,                 1.0312,               0.007822,               0.007822,               0.007822
                     13,                0.69453,                0.26065,                0.11208,                0.50618,                 1.0706,                 0.8334,                0.82582,                 0.8758,                0.75802,                0.83342,                0.82664,                0.87627,                0.85256,                0.61598,                0.16845,                0.00303,                0.42132,                 1.0638,               0.007624,               0.007624,               0.007624
                     14,                0.67865,                0.25875,                0.11164,                0.49165,                 1.0668,                0.82743,                0.85001,                0.88734,                0.80969,                0.82784,                0.85041,                0.88764,                0.86233,                0.50063,                0.15608,                0.00188,                0.39197,                 1.0054,               0.007426,               0.007426,               0.007426
                     15,                0.66199,                0.24599,                0.11068,                0.48153,                 1.0549,                0.84771,                0.83894,                0.89168,                0.82124,                0.84745,                0.83885,                0.89223,                 0.8698,                 0.4824,                0.15194,                0.00168,                0.37922,                0.99226,               0.007228,               0.007228,               0.007228
                     16,                0.65095,                0.23932,                0.10444,                0.47116,                 1.0456,                0.86471,                0.83217,                0.89572,                0.80911,                0.86527,                0.83271,                0.89617,                0.87596,                0.54626,                0.15155,                0.00247,                0.38841,                 1.0219,                0.00703,                0.00703,                0.00703
                     17,                0.64616,                0.23186,                0.10901,                0.46882,                 1.0451,                0.86549,                0.82323,                0.88909,                0.80859,                0.86576,                 0.8235,                0.88924,                0.86758,                0.51005,                0.14703,                0.00185,                0.38092,                 1.0011,               0.006832,               0.006832,               0.006832
                     18,                0.63336,                0.22501,                0.10603,                0.46054,                 1.0407,                 0.8335,                0.86978,                0.89854,                0.83058,                0.83389,                0.87018,                0.89881,                0.87824,                0.47157,                0.14472,                0.00172,                0.36612,                0.98281,               0.006634,               0.006634,               0.006634
                     19,                0.62386,                0.21958,                0.10446,                0.45231,                 1.0309,                0.86063,                 0.8428,                0.89841,                0.83997,                0.86036,                0.84304,                0.89875,                 0.8788,                0.45967,                 0.1384,                0.00167,                0.35946,                0.97533,               0.006436,               0.006436,               0.006436
                     20,                0.61613,                0.21663,                0.10254,                  0.448,                 1.0267,                0.87799,                0.84002,                0.90684,                  0.847,                 0.8775,                0.83954,                0.90709,                0.88633,                0.45316,                0.13581,                0.00159,                0.35257,                0.97373,               0.006238,               0.006238,               0.006238
                     21,                0.60674,                0.20783,                0.10024,                0.44121,                 1.0229,                0.84996,                0.87354,                0.90482,                0.84204,                0.85154,                0.87169,                0.90515,                0.88611,                0.46147,                0.13355,                0.00151,                0.34949,                0.97448,                0.00604,                0.00604,                0.00604
                     22,                0.59892,                0.20274,                0.09962,                0.43748,                 1.0173,                0.85538,                0.87001,                0.90398,                0.84596,                0.85551,                0.87015,                0.90412,                0.88591,                0.43923,                0.12919,                0.00105,                0.34463,                0.96322,               0.005842,               0.005842,               0.005842
                     23,                0.59286,                 0.2011,                0.09876,                0.43332,                 1.0139,                0.84593,                0.84318,                0.89615,                0.84068,                0.82792,                 0.8647,                0.89668,                0.87638,                0.43612,                0.13153,                  0.001,                0.34793,                0.96046,               0.005644,               0.005644,               0.005644
