                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.37207,                 0.0983,                0.04532,                0.28825,                0.89181,                0.96866,                0.96349,                0.98904,                0.97452,                0.96844,                0.96328,                0.98901,                0.98268,                0.22064,                0.04563,                0.00038,                0.18338,                0.82697,              0.0089605,              0.0089605,              0.0089605
                     23,                0.37138,                0.09879,                0.04545,                 0.2878,                0.89171,                0.96828,                0.96413,                0.98901,                0.97455,                0.96869,                0.96326,                0.98897,                0.98258,                0.22026,                0.04553,                0.00037,                0.18299,                0.82679,               0.008911,               0.008911,               0.008911
                     24,                0.37216,                0.09899,                0.04608,                0.28844,                0.89341,                0.97019,                 0.9626,                0.98909,                0.97474,                0.97007,                0.96218,                0.98908,                 0.9828,                0.21986,                0.04548,                0.00037,                0.18279,                0.82665,              0.0088615,              0.0088615,              0.0088615
                     25,                0.36976,                0.09684,                0.04511,                0.28743,                0.89154,                 0.9703,                0.96288,                0.98913,                0.97482,                0.97007,                0.96272,                0.98912,                 0.9829,                0.21955,                0.04542,                0.00036,                0.18258,                0.82646,               0.008812,               0.008812,               0.008812
                     26,                 0.3684,                0.09795,                0.04623,                  0.287,                0.89103,                0.97017,                0.96306,                0.98906,                0.97481,                0.96997,                0.96286,                0.98905,                0.98282,                0.21937,                0.04533,                0.00036,                 0.1824,                0.82637,              0.0087625,              0.0087625,              0.0087625
                     27,                0.36834,                0.09645,                0.04453,                0.28517,                0.89095,                0.96987,                0.96325,                0.98905,                0.97481,                0.96967,                0.96296,                0.98904,                0.98279,                0.21916,                0.04538,                0.00036,                0.18223,                0.82627,               0.008713,               0.008713,               0.008713
                     28,                0.36901,                0.09767,                0.04508,                 0.2866,                0.89077,                 0.9702,                0.96301,                0.98908,                0.97483,                0.97007,                0.96289,                0.98909,                 0.9829,                0.21888,                0.04555,                0.00035,                0.18193,                 0.8261,              0.0086635,              0.0086635,              0.0086635
                     29,                0.36782,                0.09663,                0.04522,                0.28561,                0.89177,                 0.9692,                0.96394,                0.98913,                0.97485,                0.96905,                0.96371,                0.98912,                0.98297,                0.21854,                0.04563,                0.00035,                0.18186,                0.82596,               0.008614,               0.008614,               0.008614
                     30,                0.36626,                0.09477,                0.04533,                0.28497,                0.89032,                0.96903,                0.96393,                0.98927,                0.97508,                0.96933,                0.96327,                0.98929,                0.98316,                0.21815,                 0.0458,                0.00035,                0.18175,                 0.8258,              0.0085645,              0.0085645,              0.0085645
                     31,                0.36606,                0.09631,                0.04524,                0.28516,                 0.8904,                0.96937,                0.96378,                0.98928,                0.97512,                0.96932,                0.96319,                0.98926,                0.98314,                0.21773,                0.04589,                0.00035,                0.18155,                0.82561,               0.008515,               0.008515,               0.008515
