                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.56819,                  1.047,                0.37485,                0.87767,                0.98017,                0.96921,                0.99211,                0.89057,                0.95389,                0.93367,                0.96146,                0.77202,                0.48886,                0.98657,                0.32572,                0.86597,               0.007723,               0.007723,               0.007723
                     25,                 0.5574,                 0.9862,                0.37204,                0.87533,                0.97834,                0.96921,                0.99222,                0.89409,                0.95844,                0.93005,                0.96063,                0.77498,                0.49415,                0.99917,                0.32342,                0.86451,               0.007624,               0.007624,               0.007624
                     26,                0.55276,                 1.0068,                0.36846,                0.87406,                0.97756,                0.96681,                0.99246,                0.89555,                0.96036,                0.93227,                0.96292,                0.77226,                0.47018,                0.95967,                0.30523,                0.85698,               0.007525,               0.007525,               0.007525
                     27,                0.54433,                0.99137,                0.36277,                0.87233,                0.98088,                0.96777,                0.99161,                0.89672,                0.94884,                0.93452,                0.95947,                 0.7712,                0.47759,                0.99799,                0.30673,                0.85816,               0.007426,               0.007426,               0.007426
                     28,                0.54192,                0.96108,                0.36284,                0.87014,                0.97283,                0.96704,                0.99202,                0.89707,                0.96071,                 0.9317,                 0.9634,                 0.7753,                0.48755,                0.95222,                0.31296,                0.85953,               0.007327,               0.007327,               0.007327
                     29,                0.54064,                0.94552,                0.35847,                0.86846,                0.97081,                0.95962,                0.98565,                0.84738,                 0.9496,                0.92342,                 0.9456,                 0.7069,                0.57636,                 1.2105,                0.33972,                0.87164,               0.007228,               0.007228,               0.007228
                     30,                0.53248,                0.94861,                0.35394,                0.86792,                0.98328,                0.96485,                0.99174,                0.90151,                0.95822,                0.92971,                0.96133,                 0.7841,                0.47138,                 1.0014,                0.30027,                0.85746,               0.007129,               0.007129,               0.007129
                     31,                0.53268,                0.93384,                0.35318,                0.86788,                0.98314,                0.97003,                0.99242,                0.90165,                0.95974,                0.93896,                0.96657,                0.78585,                 0.4738,                0.94148,                0.29727,                0.85986,                0.00703,                0.00703,                0.00703
                     32,                0.52075,                0.94274,                0.34883,                0.86665,                0.98277,                0.96707,                0.99236,                0.90081,                0.96241,                0.93771,                0.96351,                 0.7767,                0.46833,                0.97406,                 0.2996,                  0.855,               0.006931,               0.006931,               0.006931
                     33,                0.52074,                0.96007,                0.34918,                0.86324,                0.98573,                0.97134,                 0.9927,                0.90182,                0.95668,                0.93955,                0.96441,                0.78252,                0.46058,                0.94347,                0.30228,                0.85631,               0.006832,               0.006832,               0.006832
                     34,                0.51686,                0.90631,                0.34498,                0.86173,                0.98556,                0.97114,                 0.9926,                0.90417,                0.96247,                0.94044,                0.96515,                0.78962,                0.46476,                0.94689,                0.29498,                0.85321,               0.006733,               0.006733,               0.006733
                     35,                0.51396,                0.93082,                0.34272,                0.86277,                0.98133,                0.97077,                0.99186,                0.90574,                0.96058,                 0.9376,                0.96593,                0.78947,                0.45758,                0.93514,                 0.2927,                0.85497,               0.006634,               0.006634,               0.006634
                     36,                0.50733,                 0.8955,                0.33578,                0.85897,                0.98601,                0.97151,                0.99278,                0.90601,                 0.9626,                0.94262,                0.96805,                0.79395,                0.45707,                0.90171,                0.28972,                0.85268,               0.006535,               0.006535,               0.006535
                     37,                0.50564,                 0.8944,                0.33782,                0.85987,                0.98163,                0.96878,                0.99283,                0.91399,                0.95751,                0.94198,                0.96847,                0.79939,                0.44272,                0.93667,                0.28965,                0.85062,               0.006436,               0.006436,               0.006436
                     38,                0.50794,                0.90892,                0.33655,                0.86231,                0.98784,                0.96411,                0.99245,                0.90784,                0.96493,                0.93646,                0.96557,                0.79179,                0.45637,                0.92526,                0.28733,                0.85329,               0.006337,               0.006337,               0.006337
                     39,                0.49764,                0.87475,                0.33313,                0.85732,                0.98116,                0.96966,                0.99296,                0.91045,                0.95651,                0.93583,                0.96486,                0.78733,                0.44463,                0.95547,                0.28364,                0.84917,               0.006238,               0.006238,               0.006238
                     40,                0.48864,                0.86805,                0.32741,                0.85502,                 0.9872,                0.97044,                0.99312,                  0.913,                0.96036,                0.94112,                0.96601,                0.80182,                0.44261,                0.90952,                 0.2795,                 0.8515,               0.006139,               0.006139,               0.006139
                     41,                0.48977,                0.86754,                0.32745,                0.85618,                0.98238,                0.96964,                0.99247,                0.91099,                0.96065,                0.94155,                0.96542,                0.80134,                0.44118,                0.91798,                0.28553,                 0.8535,                0.00604,                0.00604,                0.00604
                     42,                0.48368,                0.84758,                0.32504,                0.85531,                0.98837,                0.97482,                0.99343,                0.91276,                0.95761,                0.94433,                0.96729,                0.79788,                0.43577,                0.91429,                0.27742,                0.84904,               0.005941,               0.005941,               0.005941
