                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.30067,                  0.501,                0.27879,                0.82618,                0.90365,                0.91915,                0.94257,                0.89775,                0.84827,                0.85778,                0.86808,                0.65315,                0.25959,                 1.7573,                0.35629,                 0.8017,               0.007723,               0.007723,               0.007723
                     25,                0.29991,                0.50491,                0.25553,                 0.8208,                 0.8957,                0.91395,                0.93899,                0.88383,                0.82972,                0.83864,                0.85632,                0.63096,                0.32513,                 1.8871,                0.36502,                0.81131,               0.007624,               0.007624,               0.007624
                     26,                0.28974,                  0.436,                0.25917,                0.82159,                  0.969,                0.97202,                 0.9881,                   0.98,                  0.969,                0.97202,                 0.9881,                0.89638,                 0.1851,                0.44771,                0.19972,                0.78126,               0.007525,               0.007525,               0.007525
                     27,                0.29575,                0.47418,                0.26648,                0.82405,                0.96576,                0.96016,                0.98932,                0.98106,                0.96576,                0.96016,                0.98932,                0.88712,                0.20422,                 0.4917,                0.20769,                0.78085,               0.007426,               0.007426,               0.007426
                     28,                0.31252,                0.47645,                0.24624,                0.81706,                0.95998,                0.96887,                0.98932,                 0.9767,                0.95998,                0.96887,                0.98932,                0.86711,                0.23022,                0.52262,                0.20948,                0.78302,               0.007327,               0.007327,               0.007327
                     29,                 0.2976,                0.46152,                0.24874,                0.81836,                0.96562,                0.98228,                0.98968,                0.98326,                0.96562,                0.98228,                0.98968,                0.92457,                0.18386,                0.40025,                0.17208,                0.77954,               0.007228,               0.007228,               0.007228
                     30,                0.29321,                0.44809,                0.24937,                0.82225,                0.96735,                0.97251,                 0.9902,                0.97853,                0.96735,                0.97251,                 0.9902,                0.91622,                0.21731,                0.38341,                0.19454,                0.77984,               0.007129,               0.007129,               0.007129
                     31,                0.28054,                0.44478,                 0.2501,                 0.8238,                  0.971,                0.98053,                 0.9898,                0.98859,                  0.971,                0.98053,                 0.9898,                0.92113,                0.17998,                0.38416,                0.17936,                0.77926,                0.00703,                0.00703,                0.00703
                     32,                0.27664,                0.43918,                0.24209,                0.81544,                0.97074,                0.97033,                0.99448,                0.98901,                0.97074,                0.97033,                0.99448,                0.92889,                0.18441,                0.36845,                0.17698,                0.77942,               0.006931,               0.006931,               0.006931
                     33,                0.28225,                0.42676,                0.25848,                0.81398,                0.97352,                0.97189,                0.99448,                0.99149,                0.97352,                0.97189,                0.99448,                0.93525,                0.17384,                0.35842,                0.17457,                0.77567,               0.006832,               0.006832,               0.006832
                     34,                0.26913,                 0.4548,                0.23822,                0.82174,                0.97822,                0.97443,                0.99352,                0.98998,                0.97822,                0.97443,                0.99352,                0.93046,                0.17371,                 0.3661,                0.17011,                0.77577,               0.006733,               0.006733,               0.006733
                     35,                0.26818,                0.42432,                0.23596,                0.80627,                0.95734,                0.96687,                0.97485,                0.96156,                0.95734,                0.96687,                0.97485,                0.88555,                 0.2134,                0.45546,                0.21513,                0.78077,               0.006634,               0.006634,               0.006634
                     36,                0.29058,                0.43543,                0.25837,                0.82521,                0.96427,                0.98005,                 0.9853,                0.98254,                0.96427,                0.98005,                 0.9853,                0.90863,                0.19264,                0.41049,                0.18994,                0.77652,               0.006535,               0.006535,               0.006535
                     37,                0.27459,                0.44279,                 0.2364,                0.82387,                0.96509,                0.97983,                  0.983,                0.97889,                0.96509,                0.97983,                  0.983,                0.90085,                0.20399,                0.39799,                0.19062,                0.77736,               0.006436,               0.006436,               0.006436
                     38,                0.28159,                 0.4418,                0.24054,                0.82284,                0.96849,                0.97668,                0.98311,                0.98005,                0.96849,                0.97668,                0.98311,                0.91181,                0.18566,                0.37781,                0.18388,                0.77513,               0.006337,               0.006337,               0.006337
                     39,                0.28278,                0.47252,                0.23646,                 0.8298,                0.94922,                0.96092,                 0.9623,                0.94808,                0.94922,                0.96092,                 0.9623,                0.86876,                0.23087,                0.45326,                0.24893,                0.78193,               0.006238,               0.006238,               0.006238
                     40,                 0.2767,                0.43331,                0.24222,                0.80232,                0.95739,                0.95622,                0.97239,                 0.9684,                0.95739,                0.95622,                0.97239,                0.89241,                0.19725,                0.42227,                0.23087,                0.77738,               0.006139,               0.006139,               0.006139
