                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.53286,                0.49604,                0.34397,                0.20842,                0.90748,                0.76632,                      1,                  0.826,                0.76063,                0.76632,                      1,                  0.826,                0.74035,                0.43484,                 0.3654,                0.30201,                0.61067,                0.86545,             0.00095842,             0.00095842,             0.00095842
                     23,                0.46915,                0.59258,                0.34748,                0.20279,                0.88146,                0.76644,                      1,                0.81485,                0.75059,                0.76644,                      1,                0.81485,                0.72492,                 0.4304,                0.33223,                0.29647,                0.59755,                0.85231,             0.00095644,             0.00095644,             0.00095644
                     24,                0.55059,                0.42744,                0.36749,                0.22979,                0.92894,                 0.7659,                      1,                0.82467,                   0.75,                 0.7659,                      1,                0.82467,                0.76873,                0.47388,                 0.3085,                0.29227,                0.62921,                 0.8755,             0.00095446,             0.00095446,             0.00095446
                     25,                0.49075,                0.47663,                0.33717,                0.20531,                0.85825,                0.76619,                      1,                0.81778,                0.75397,                0.76619,                      1,                0.81778,                0.76138,                0.46677,                0.29337,                0.29031,                0.61369,                0.87289,             0.00095248,             0.00095248,             0.00095248
                     26,                0.52218,                0.64795,                0.35587,                0.22512,                0.89247,                0.76621,                      1,                0.82662,                0.75919,                0.76621,                      1,                0.82662,                0.76361,                0.46425,                0.27685,                0.28677,                0.61151,                0.87349,              0.0009505,              0.0009505,              0.0009505
                     27,                0.45513,                0.42583,                0.33963,                0.20092,                0.85265,                0.76659,                      1,                0.83849,                0.76718,                0.76659,                      1,                0.83849,                0.78126,                 0.4334,                0.28764,                0.27772,                0.59643,                0.85423,             0.00094852,             0.00094852,             0.00094852
                     28,                 0.4715,                0.46077,                0.34266,                0.19681,                0.86549,                0.76677,                      1,                0.82669,                0.74428,                0.76677,                      1,                0.82669,                0.77477,                 0.5439,                0.25559,                0.27442,                0.60986,                0.89301,             0.00094654,             0.00094654,             0.00094654
                     29,                0.46551,                 0.4596,                 0.3378,                0.21061,                0.87726,                0.76639,                      1,                0.82513,                0.74637,                0.76639,                      1,                0.82513,                0.77548,                0.53508,                0.24167,                0.27051,                0.60159,                0.89053,             0.00094456,             0.00094456,             0.00094456
                     30,                0.41463,                0.34404,                0.33682,                0.18277,                0.85462,                 0.7666,                      1,                0.81349,                0.73331,                 0.7666,                      1,                0.81349,                0.76804,                0.51656,                0.23596,                0.26674,                0.60579,                0.89106,             0.00094258,             0.00094258,             0.00094258
                     31,                 0.4704,                0.40024,                0.32037,                0.20622,                 0.8709,                0.76584,                      1,                0.84283,                0.72766,                0.76584,                      1,                0.84283,                0.81165,                0.63807,                0.24646,                0.25679,                0.63816,                0.97858,              0.0009406,              0.0009406,              0.0009406
                     32,                0.46042,                0.36861,                 0.3237,                0.20808,                 0.8909,                0.76625,                      1,                0.84504,                0.73331,                0.76625,                      1,                0.84504,                 0.8007,                0.61245,                0.22885,                 0.2524,                0.63515,                0.96456,             0.00093862,             0.00093862,             0.00093862
                     33,                0.44969,                0.29552,                  0.295,                0.19051,                0.83254,                0.76712,                      1,                0.85063,                0.77177,                0.76712,                      1,                0.85063,                 0.8423,                0.50127,                0.20059,                0.24974,                0.59165,                0.90037,             0.00093664,             0.00093664,             0.00093664
                     34,                0.42552,                0.25835,                0.30669,                0.18379,                0.84883,                0.76694,                      1,                0.85375,                0.79357,                0.76694,                      1,                0.85375,                0.85375,                0.38843,                0.17662,                0.24359,                0.55833,                0.84056,             0.00093466,             0.00093466,             0.00093466
                     35,                0.40322,                0.27251,                0.29804,                 0.1794,                0.85201,                0.76697,                      1,                0.84361,                 0.7934,                0.76697,                      1,                0.84361,                0.84361,                0.36731,                0.16305,                 0.2368,                0.56959,                 0.8358,             0.00093268,             0.00093268,             0.00093268
                     36,                0.43951,                0.22554,                0.27808,                0.19413,                0.88806,                0.76687,                      1,                0.83695,                0.78714,                0.76687,                      1,                0.83695,                0.83226,                0.38147,                0.16017,                 0.2349,                0.58051,                 0.8439,              0.0009307,              0.0009307,              0.0009307
                     37,                0.48354,                0.35103,                0.37781,                0.21213,                  0.879,                0.76699,                      1,                 0.8343,                0.78376,                0.76699,                      1,                 0.8343,                0.81095,                0.40209,                0.15963,                0.23062,                0.57657,                0.85008,             0.00092872,             0.00092872,             0.00092872
